Elapsed time,LoadExamResultsHomePage (failure),LoadExamResultsHomePage (success),LoadExamResultsHomePage-0 (success),LoadExamResultsHomePage-1 (failure),LoadExamResultsHomePage-1 (success),SearchExamResults (failure),SearchExamResults (success),SearchExamResults-0 (success),SearchExamResults-1 (failure),SearchExamResults-1 (success),SearchExamResults-2 (failure),SearchExamResults-2 (success)
16:48:31.0,11.0,43.0,53.0,18.0,25.0,,20.0,30.0,,20.0,,19.0
16:48:32.0,9.0,7.0,,7.0,,20.0,5.0,,5.0,,5.0,
16:48:33.0,17.0,16.0,4.0,6.0,10.0,3.0,5.0,5.0,5.0,,5.0,
16:48:34.0,,2.0,,,2.0,1.0,,,,,,
16:48:35.0,2.0,17.0,21.0,4.0,13.0,,14.0,30.0,11.0,4.0,11.0,3.0
16:48:36.0,2.0,14.0,54.0,,14.0,22.0,11.0,10.0,,10.0,,11.0
16:48:38.0,,25.0,31.0,,25.0,,4.0,,,4.0,,4.0
16:48:39.0,6.0,10.0,,10.0,,12.0,19.0,,20.0,,19.0,
16:48:40.0,19.0,46.0,5.0,36.0,10.0,13.0,6.0,,6.0,,6.0,
16:48:41.0,2.0,1.0,5.0,,1.0,,,6.0,,,,
